Name,Agent,State,Notes,User,Tags,Created,Runtime,Sweep,AU,C,MP,config_file,draw_plots_flag,external_set,feature_selection,learning_rate,max_depth,max_iter,max_leaf_nodes,method,metric.goal,metric.name,model_name,name,num_configs,num_features,num_fold,num_folds,oversampling,parameters.C.distribution,parameters.C.max,parameters.C.min,parameters.config_file.distribution,parameters.config_files,parameters.external_set.distribution,parameters.external_sets,parameters.learning_rate.distribution,parameters.learning_rate.max,parameters.learning_rate.min,parameters.max_depth.distribution,parameters.max_depth.max,parameters.max_depth.min,parameters.max_iter.distribution,parameters.max_iter.max,parameters.max_iter.min,parameters.max_leaf_nodes.distribution,parameters.max_leaf_nodes.max,parameters.max_leaf_nodes.min,parameters.model_name.distribution,parameters.model_names,parameters.name.distribution,parameters.names,parameters.num_configs.distribution,parameters.num_configs.max,parameters.num_configs.min,parameters.num_features.distribution,parameters.num_features.max,parameters.num_features.min,parameters.num_folds.distribution,parameters.num_foldss,parameters.penalty.distribution,parameters.penaltys,parameters.random_state.distribution,parameters.random_state.max,parameters.random_state.min,parameters.solver.distribution,parameters.solvers,parameters.sorting_metric.distribution,parameters.sorting_metrics,parameters.tol.distribution,parameters.tol.max,parameters.tol.min,penalty,program,random_state,scaler,solver,sorting_metric,store_predictions,tol,Accuracy,F1 Score (Non PD),F1 Score (PD),Model Name,NPV,Precision/PPV,ROC AUC,Recall/Sensitivity,Specificity
vivid-sweep-9666,,finished,-,,,2024-12-07T09:47:16.000Z,32,rdkgmyly,,,,,,superPARK,,0.0183092848570692,41,,5,,,,HistGradientBoosting,,,40,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3917,,,pvalue,,,75.28,79.42,69.06,HistGradientBoosting,81.69,66.28,83.7,72.08,77.26
dainty-sweep-13468,,finished,-,,,2024-12-07T14:00:55.000Z,27,rdkgmyly,,,,,,superPARK,,0.029048968869037,84,,6,,,,HistGradientBoosting,,,37,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2891,,,pvalue,,,75.28,79.31,69.31,HistGradientBoosting,82.04,66.04,83.7,72.92,76.74
hardy-sweep-4667,,finished,-,,,2024-12-07T04:17:20.000Z,55,rdkgmyly,,,,,,superPARK,,0.0180693841665356,29,,6,,,,HistGradientBoosting,,,36,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3806,,,pvalue,,,75.28,79.19,69.55,HistGradientBoosting,82.4,65.8,83.64,73.75,76.23
youthful-sweep-8943,,finished,-,,,2024-12-07T08:58:31.000Z,42,rdkgmyly,,,,,,superPARK,,0.0190927511631426,48,,6,,,,HistGradientBoosting,,,34,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5670,,,pvalue,,,75.6,79.41,70.06,HistGradientBoosting,82.87,66.05,83.61,74.58,76.23
astral-sweep-9036,,finished,-,,,2024-12-07T09:04:57.000Z,46,rdkgmyly,,,,,,superPARK,,0.0166057508892356,52,,5,,,,HistGradientBoosting,,,35,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7217,,,pvalue,,,75.44,79.3,69.8,HistGradientBoosting,82.63,65.93,83.59,74.17,76.23
resilient-sweep-13803,,finished,-,,,2024-12-07T14:23:18.000Z,41,rdkgmyly,,,,,,superPARK,,0.0224923699164003,79,,7,,,,HistGradientBoosting,,,39,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3952,,,pvalue,,,74.96,78.81,69.4,HistGradientBoosting,82.49,65.2,83.56,74.17,75.45
likely-sweep-12731,,finished,-,,,2024-12-07T13:10:46.000Z,35,rdkgmyly,,,,,,superPARK,,0.0194137167290894,89,,6,,,,HistGradientBoosting,,,39,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5434,,,pvalue,,,75.44,79.19,70.04,HistGradientBoosting,83.0,65.69,83.55,75.0,75.71
gallant-sweep-1285,,finished,-,,,2024-12-07T00:13:26.000Z,36,rdkgmyly,,,,,,superPARK,,0.0236919841400526,36,,5,,,,HistGradientBoosting,,,28,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7974,,,pvalue,,,75.28,79.25,69.43,HistGradientBoosting,82.22,65.92,83.51,73.33,76.49
whole-sweep-1585,,finished,-,,,2024-12-07T00:36:12.000Z,22,rdkgmyly,,,,,,superPARK,,0.0269449272920944,41,,5,,,,HistGradientBoosting,,,30,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7049,,,pvalue,,,75.12,79.2,69.05,HistGradientBoosting,81.82,65.91,83.49,72.5,76.74
fresh-sweep-5402,,finished,-,,,2024-12-07T05:05:47.000Z,27,rdkgmyly,,,,,,superPARK,,0.0181460290105779,52,,8,,,,HistGradientBoosting,,,40,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5632,,,pvalue,,,74.8,78.71,69.14,HistGradientBoosting,82.25,65.07,83.48,73.75,75.45
